Park Name,Address,City,Lat,Lon,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Parking Spaces,# of Handicap Spaces,# of Drinking Fountains,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature,Rentable Shelters,Other Ammenities
Sparks Marina Park,300 Howard Drive,Sparks,39.535045,-119.731714,,Special Use,109,,Yes,,,,Yes,,Yes,,,Yes,,,0,4,,,0,0,,,Yes,,,,,,,,,"waterfront, concessions, canopy, benches, beaches, fishing, dog park,"
Sparks Memorial Park,241 Pyramid Way,Sparks,39.535261,-119.753175,,Pocket,0.5,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,"benches, gazebo, stream,"
Sterling Village Tot Lot,760 Winston Dr,Reno,39.544633,-119.803353,NE,Pocket,0.23,0,0,0,0,0,0,,0,0,Yes,Yes,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Stewart Park,400 Stewart St,Reno,39.521986,-119.803723,SE,Neighborhood,1.29,0.85,0,0,0,0,Yes,Seasonal,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Summit Ridge Park,4650 Summit Ridge Dr,Reno,39.518353,-119.85377,NW,Neighborhood,5.99,3.02,0,0,0,1,Yes,Seasonal,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,Yes,0,,,Yes,Yes,,
Sun Mesa Park,"570 Sun Mesa Drive, Sun Valley",,39.592314,-119.759266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Valley Community Park,"115 W. 6th Avenue., Sun Valley",,39.596687,-119.781623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Valley Regional Park,"North End of Sidehill Dr., Sun Valley",,39.611865,-119.78676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swan Lake Nature Study Area,East End of Lear Blvd. off Military Rd,,39.659008,-119.844349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swope MS,901 Keele Dr,Reno,39.510486,-119.847613,SW,School,8.37,6.24,0,0,0,2,Yes,Seasonal,0,0,0,0,0,0,4,0,0,0,4,4,1,Youth Games,0,,0,0,,,0,0,,
Teglia's Paradise Park,2700 Paradise Dr,Reno,39.545144,-119.777327,NE,Community,38.39,6.81,Yes,321,14,1,Yes,Yearly,Yes,Yes,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,pond/lake,Yes,0,Yes,
Terrace Sports Complex,2525 Robb Drive,Reno,39.543783,-119.891495,NW,Community,25,8.83,Yes,255,11,2,Yes,Seasonal,0,0,Yes,Yes,0,0,0,0,0,0,4,4,1,Youth Games,0,,0,0,,,0,0,,"activity center, community garden, grills,"
Thomas Creek Park,"12875 Thomas Creek Rd., Reno",,39.4146829,-119.7899479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traner MS and Pool,1700 Carville Dr,Reno,39.540656,-119.792569,NE,Community,4.29,3.27,0,0,0,0,0,,0,0,0,0,0,0,6,0,0,0,2,0,1,Youth Games,0,,0,Yes,Outdoor,,0,0,,
Truckee River Greenbelt,,Sparks,39.518113,-119.715803,,Greenbelt,37.4,,,,,,,,,,,,,,,,,,0,0,,,Yes,,,,,,,,,
Tumblewood Trails Park,7575 Bareback Drive,Sparks,39.627765,-119.6725041,,Neighborhood,3.3,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"waterfront, canopy, benches,"
University Ridge Park,990 South University Park Loop,Reno,39.55977,-119.810514,NE,Neighborhood,12.72,1.35,Yes,20,2,2,Yes,Seasonal,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,0,0,,,Yes,0,,
Valleywood Park,6555 Valley Wood Dr,Reno,39.532831,-119.89174,NW,Community,9.5,2.35,0,0,0,1,Yes,Seasonal,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,0,0,,stream,0,0,,
Van Meter Park,1300 O'Callahan Drive,Sparks,39.550462,-119.721127,,Neighborhood,2,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,1,0,0,0,0,,,Yes,,0,0,,,Yes,,,"canopy, benches,"
Vaughn MS,1200 Bresson Ave,Reno,39.513973,-119.792635,SE,School,5.32,2.9,0,0,0,0,0,,0,0,0,0,0,0,5,0,3,2,0,0,0,,0,,0,0,,,0,0,,
Verdi School Park,"Bridge St., Verdi",,39.5303039,-119.9886981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Village Center Park,"18755 Village Center Dr., Reno",,39.6908211,-119.9662997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Village Green Park,849 Lepori Way,Sparks,39.560526,-119.753537,,Neighborhood,1.6,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy, benches,"
